iter	Passed	Remaining
1406	27360	167100
1407	27380	167080
1408	27398	167055
1409	27416	167026
1410	27434	166997
1411	27452	166971
1412	27472	166953
1413	27492	166939
1414	27510	166907
1415	27529	166886
1416	27548	166868
1417	27569	166858
1418	27589	166841
1419	27608	166815
1420	27626	166788
1421	27645	166768
1422	27665	166748
1423	27685	166733
1424	27704	166710
1425	27724	166696
1426	27743	166676
1427	27762	166652
1428	27782	166633
1429	27800	166606
1430	27818	166579
1431	27837	166556
1432	27856	166535
1433	27875	166512
1434	27892	166483
1435	27911	166456
1436	27930	166437
1437	27949	166415
1438	27968	166391
1439	27988	166375
1440	28008	166362
1441	28026	166334
1442	28046	166317
1443	28065	166293
1444	28083	166265
1445	28102	166246
1446	28121	166221
1447	28140	166199
1448	28159	166180
1449	28178	166158
1450	28196	166128
1451	28215	166103
1452	28234	166084
1453	28253	166062
1454	28273	166045
1455	28291	166016
1456	28309	165990
1457	28328	165969
1458	28346	165942
1459	28364	165915
1460	28384	165894
1461	28402	165868
1462	28422	165851
1463	28440	165825
1464	28459	165804
1465	28480	165795
1466	28499	165772
1467	28518	165751
1468	28538	165731
1469	28556	165705
1470	28576	165686
1471	28596	165671
1472	28614	165643
1473	28631	165611
1474	28649	165584
1475	28668	165560
1476	28686	165532
1477	28704	165508
1478	28725	165496
1479	28746	165484
1480	28765	165464
1481	28784	165440
1482	28802	165416
1483	28821	165392
1484	28841	165376
1485	28859	165348
1486	28878	165326
1487	28897	165304
1488	28916	165285
1489	28935	165260
1490	28953	165232
1491	28973	165219
1492	28991	165194
1493	29011	165176
1494	29032	165163
1495	29051	165141
1496	29070	165122
1497	29090	165107
1498	29109	165084
1499	29128	165059
1500	29156	165091
1501	29176	165074
1502	29195	165055
1503	29215	165036
1504	29236	165026
1505	29257	165013
1506	29278	165007
1507	29299	164994
1508	29320	164981
1509	29341	164973
1510	29360	164950
1511	29378	164926
1512	29399	164915
1513	29420	164904
1514	29442	164899
1515	29462	164881
1516	29482	164862
1517	29501	164841
1518	29521	164827
1519	29541	164808
1520	29559	164782
1521	29577	164757
1522	29596	164732
1523	29615	164711
1524	29633	164683
1525	29653	164668
1526	29671	164640
1527	29691	164622
1528	29710	164603
1529	29729	164579
1530	29748	164556
1531	29768	164542
1532	29787	164522
1533	29806	164497
1534	29825	164480
1535	29844	164455
1536	29862	164426
1537	29879	164395
1538	29898	164374
1539	29917	164351
1540	29936	164331
1541	29955	164307
1542	29973	164281
1543	29992	164259
1544	30013	164250
1545	30032	164224
